threshold,fold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
0.35,2,0.1,0.5,balanced,1859,0.9178082191780822,0.11185308848080133,0.19940476190476192,0.7080317911605065,0.4158523344191097
0.35,3,0.1,0.5,balanced,1883,0.8904109589041096,0.1079734219269103,0.1925925925925926,0.6557411475833549,0.40825190010857765
0.35,4,0.1,0.5,balanced,1912,0.8333333333333334,0.09933774834437085,0.17751479289940827,0.6335331498951782,0.39565217391304347
0.35,5,0.1,0.5,balanced,1895,0.8194444444444444,0.09672131147540984,0.17302052785923755,0.6969503406708595,0.3869565217391304
0.4,1,0.1,0.5,balanced,1872,0.8472222222222222,0.12079207920792079,0.21143847487001732,0.6970455437769925,0.505971769815418
0.4,2,0.1,0.5,balanced,1859,0.8904109589041096,0.12548262548262548,0.21996615905245348,0.7080317911605065,0.499457111834962
0.4,3,0.1,0.5,balanced,1883,0.8082191780821918,0.11302681992337164,0.19831932773109243,0.6557411475833549,0.4820846905537459
0.4,4,0.1,0.5,balanced,1912,0.7916666666666666,0.10614525139664804,0.18719211822660098,0.6335331498951782,0.46195652173913043
0.4,5,0.1,0.5,balanced,1895,0.7777777777777778,0.1076923076923077,0.1891891891891892,0.6969503406708595,0.4782608695652174
0.45,1,0.1,0.5,balanced,1872,0.6944444444444444,0.11682242990654206,0.2,0.6970455437769925,0.5656894679695983
0.45,2,0.1,0.5,balanced,1859,0.7671232876712328,0.12933025404157045,0.22134387351778656,0.7080317911605065,0.5722041259500543
0.45,3,0.1,0.5,balanced,1883,0.7534246575342466,0.12614678899082568,0.21611001964636542,0.6557411475833549,0.5667752442996743
0.45,4,0.1,0.5,balanced,1912,0.6805555555555556,0.10652173913043478,0.18421052631578946,0.6335331498951782,0.5282608695652173
0.45,5,0.1,0.5,balanced,1895,0.75,0.12189616252821671,0.20970873786407768,0.6969503406708595,0.5576086956521739
0.5,1,0.1,0.5,balanced,1872,0.6111111111111112,0.12535612535612536,0.20803782505910165,0.6970455437769925,0.6362649294245385
0.5,2,0.1,0.5,balanced,1859,0.6575342465753424,0.13259668508287292,0.2206896551724138,0.7080317911605065,0.6319218241042345
0.5,3,0.1,0.5,balanced,1883,0.6301369863013698,0.12534059945504086,0.20909090909090908,0.6557411475833549,0.6221498371335505
0.5,4,0.1,0.5,balanced,1912,0.5833333333333334,0.11140583554376658,0.1870824053452116,0.6335331498951782,0.6032608695652174
0.5,5,0.1,0.5,balanced,1895,0.6944444444444444,0.1440922190201729,0.2386634844868735,0.6969503406708595,0.6532608695652173
0.55,1,0.1,0.5,balanced,1872,0.5138888888888888,0.13357400722021662,0.21203438395415472,0.6970455437769925,0.7014115092290988
0.55,2,0.1,0.5,balanced,1859,0.5205479452054794,0.1412639405204461,0.2222222222222222,0.7080317911605065,0.7111834961997828
