fold,threshold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
3,0.3,0.01,0.8,"0:1.0,1:4.0",1883,0.3972602739726027,0.12393162393162394,0.18892508143322476,0.6698436288446628,0.7296416938110749
4,0.3,0.01,0.8,"0:1.0,1:4.0",1912,0.4305555555555556,0.12109375,0.18902439024390244,0.6354821802935011,0.7108695652173913
5,0.3,0.01,0.8,"0:1.0,1:4.0",1895,0.4305555555555556,0.13716814159292035,0.2080536912751678,0.6885973532494759,0.7434782608695653
1,0.3,0.01,0.8,"0:1.0,1:6.0",1872,0.75,0.10887096774193548,0.19014084507042253,0.6769074728438687,0.500542888165038
2,0.3,0.01,0.8,"0:1.0,1:6.0",1859,0.8356164383561644,0.1203155818540434,0.2103448275862069,0.6912800465236495,0.50271444082519
3,0.3,0.01,0.8,"0:1.0,1:6.0",1883,0.7808219178082192,0.11538461538461539,0.20105820105820105,0.6649004910829671,0.50814332247557
4,0.3,0.01,0.8,"0:1.0,1:6.0",1912,0.7361111111111112,0.10433070866141732,0.18275862068965518,0.6374475890985325,0.48478260869565215
5,0.3,0.01,0.8,"0:1.0,1:6.0",1895,0.8333333333333334,0.12121212121212122,0.21164021164021163,0.6931833071278826,0.5141304347826087
1,0.3,0.1,0.2,none,1872,0.0,0.0,0.0,0.6954587095929853,0.9185667752442996
2,0.3,0.1,0.2,none,1859,0.0,0.0,0.0,0.7005524683380717,0.9207383279044516
3,0.3,0.1,0.2,none,1883,0.0136986301369863,0.25,0.025974025974025976,0.6533665029723443,0.9185667752442996
4,0.3,0.1,0.2,none,1912,0.013888888888888888,0.3333333333333333,0.02666666666666667,0.6285704926624738,0.9206521739130434
5,0.3,0.1,0.2,none,1895,0.013888888888888888,0.5,0.02702702702702703,0.695394392033543,0.9217391304347826
1,0.3,0.1,0.2,balanced,1872,0.9722222222222222,0.10510510510510511,0.1897018970189702,0.6958840465907604,0.3507057546145494
2,0.3,0.1,0.2,balanced,1859,0.9178082191780822,0.10044977511244378,0.1810810810810811,0.7064648487981391,0.34201954397394135
3,0.3,0.1,0.2,balanced,1883,0.9041095890410958,0.09777777777777778,0.17647058823529413,0.6545295942103901,0.3311617806731813
4,0.3,0.1,0.2,balanced,1912,0.8472222222222222,0.09104477611940298,0.16442048517520216,0.6338607180293501,0.32608695652173914
5,0.3,0.1,0.2,balanced,1895,0.8888888888888888,0.09397944199706314,0.1699867197875166,0.6987192085953879,0.32065217391304346
1,0.3,0.1,0.2,"0:1.0,1:2.0",1872,0.1388888888888889,0.1694915254237288,0.15267175572519084,0.6976999083889543,0.8794788273615635
2,0.3,0.1,0.2,"0:1.0,1:2.0",1859,0.136986301369863,0.2222222222222222,0.1694915254237288,0.7042355905918842,0.8935939196525515
3,0.3,0.1,0.2,"0:1.0,1:2.0",1883,0.0821917808219178,0.10909090909090909,0.09375,0.6532372706125613,0.8740499457111836
4,0.3,0.1,0.2,"0:1.0,1:2.0",1912,0.1388888888888889,0.15625,0.14705882352941177,0.6300936844863732,0.8739130434782608
5,0.3,0.1,0.2,"0:1.0,1:2.0",1895,0.18055555555555555,0.22413793103448276,0.2,0.6961314203354299,0.8869565217391304
1,0.3,0.1,0.2,"0:1.0,1:4.0",1872,0.5138888888888888,0.13602941176470587,0.21511627906976744,0.6975363172359639,0.7068403908794788
2,0.3,0.1,0.2,"0:1.0,1:4.0",1859,0.5068493150684932,0.14068441064638784,0.22023809523809523,0.7049302145257171,0.7155266015200868
3,0.3,0.1,0.2,"0:1.0,1:4.0",1883,0.410958904109589,0.11363636363636363,0.17804154302670624,0.6538349702765573,0.6992399565689468
4,0.3,0.1,0.2,"0:1.0,1:4.0",1912,0.4166666666666667,0.1016949152542373,0.16348773841961853,0.6316823899371069,0.6663043478260869
