threshold,C,l1_ratio,class_weight,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,balanced_score,is_best
0.3,10.0,0.5,none,0.016552511415525113,0.006062958664051823,0.2952380952380952,0.22118522214273506,0.031114436529493156,0.012041194550627026,0.6740549628410033,0.033681443094901245,0.9185316055327386,0.002538006548218729,0.2213648789347553,False
0.3,10.0,0.8,none,0.016552511415525113,0.006062958664051823,0.2952380952380952,0.22118522214273506,0.031114436529493156,0.012041194550627026,0.673953891023819,0.03373968505924991,0.9185316055327386,0.002538006548218729,0.2213446645713184,False
0.3,0.01,0.2,"0:1.0,1:2.0",0.04973363774733638,0.0158484512523139,0.1938135938135938,0.06540887193501947,0.07796247679968608,0.021912922615378853,0.6690044763131342,0.0263577600993464,0.9083203512250388,0.0049001825044020985,0.21666500424014773,False
0.3,0.1,0.2,none,0.008295281582952816,0.00757291974840898,0.21666666666666665,0.2173067468400883,0.015933543933543935,0.014550190848570193,0.6746685131198836,0.03205688923729441,0.9200526365481754,0.001422097653663343,0.19557233974891522,False
0.3,0.1,0.5,none,0.0027777777777777775,0.006211299937499415,0.2,0.447213595499958,0.005479452054794521,0.01225242727397145,0.670578550947452,0.030197715960748953,0.9211386489165839,0.0012168295159829473,0.18631890653652236,False
0.3,0.01,0.5,"0:1.0,1:2.0",0.005517503805175038,0.00755545268328188,0.11666666666666665,0.16244657241348273,0.010528138528138529,0.014418327157407276,0.6711257840726503,0.023188846957471795,0.920704102346221,0.0013131757751285644,0.16767910925478388,False
0.3,0.01,0.2,none,0.0,0.0,0.0,0.0,0.0,0.0,0.6708022662888332,0.024732229961485473,0.9213558041825992,0.0005647426135001825,0.13416045325776665,False
0.3,0.01,0.8,"0:1.0,1:2.0",0.0,0.0,0.0,0.0,0.0,0.0,0.6679801342571747,0.022694671287895273,0.9213558041825992,0.0005647426135001825,0.13359602685143496,False
0.3,0.1,0.8,none,0.0,0.0,0.0,0.0,0.0,0.0,0.6672350474049868,0.02844518865160254,0.9211386489165839,0.000943364633051144,0.1334470094809974,False
0.3,0.01,0.5,none,0.0,0.0,0.0,0.0,0.0,0.0,0.6649551658181322,0.025344924630112328,0.9213558041825992,0.0005647426135001825,0.13299103316362645,False
0.3,0.01,0.8,none,0.0,0.0,0.0,0.0,0.0,0.0,0.6441208844573658,0.030169211928642907,0.9213558041825992,0.0005647426135001825,0.12882417689147316,False
